url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
http://www.klarna.com,117.0,0.02564102564102564,0.1111111111111111,0,3,29,439.17578125,82.79558654795471,19,6,0
http://www.refinery29.com/file/5377/refinery29-2018-webby-email-entry.html,202.0,0.693069306930693,0.3217821782178218,53,156,27,7.8193359375,0.0,53,7,0
http://www.coachella.com,88.0,0.13636363636363635,0.4431818181818182,0,1,6,998.046875,60.605675146771034,0,17,0
https://casestudies.work/pfweb,305.0,0.019672131147540985,0.14754098360655737,0,22,1,329.080078125,92.23243060377828,36,16,0
http://award.i-studio.co.jp/2017_converse-allstar-100/pc/,25.0,0.0,0.52,0,48,0,8292.654296875,93.8030740214125,238,12,0
http://www.apartmenttherapy.com/email,141.0,0.06382978723404255,0.3546099290780142,0,3,26,760.1005859375,86.79952154769812,5,3,0
https://www.globalxplorer.org/,231.0,0.07792207792207792,0.14285714285714285,0,8,33,41.06640625,42.07647674307999,24,10,22
http://www.collegehumor.com,66.0,0.15151515151515152,0.19696969696969696,0,4,1,2.708984375,0.0,1,4,0
https://www.epicurious.com,1015.0,0.21182266009852216,0.16748768472906403,0,20,17,788.2744140625,83.40966782417588,17,4,0
https://manncenter.org/,230.0,0.32608695652173914,0.043478260869565216,1,3,15,12722.44140625,29.84272838503567,26,9,0
https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,1034.0,0.23984526112185686,0.344294003868472,0,57,5,3645.2001953125,95.84095630893043,28,5,0
http://complexcon.com,41.0,0.2926829268292683,1.024390243902439,0,4,12,1079.7607421875,97.54946073665408,22,11,12
http://workingnotworking.com,616.0,0.12012987012987013,0.14285714285714285,0,14,34,553.7021484375,48.37642925549083,38,6,0
http://everytownresearch.org/navigator/,860.0,0.10465116279069768,0.10697674418604651,0,12,53,5061.31640625,5.300602687202332,6,3,2
http://www.caledoniaspirits.com,265.0,0.12452830188679245,0.5509433962264151,0,13,10,1332.7509765625,94.01818811976227,13,3,4
http://destroyer.la,481.0,0.0,0.7068607068607069,0,8,12,1876.0380859375,92.39488762211339,15,3,0
https://i-d.vice.com/en_us,728.0,0.2692307692307692,0.12637362637362637,0,2,30,635.5205078125,79.53187977989253,73,8,0
https://artisantalent.com/,368.0,0.09782608695652174,0.3858695652173913,1,7,29,562.6904296875,85.0314563645988,14,5,0
https://yonacare.com/,370.0,0.043243243243243246,0.2918918918918919,11,0,10,369.8359375,83.65565390058937,24,2,19
https://wilkmazz.com/,7819.0,0.0,0.09566440721319862,0,194,8,86.6015625,64.851150202977,14,9,0
http://www.thecut.com/,1475.0,0.05627118644067797,0.15050847457627117,0,0,104,785.80859375,47.90174332768297,57,2,1
https://careers.underarmour.com,1604.0,0.07356608478802992,0.13154613466334164,0,60,22,18.296875,0.0,43,6,0
https://spectrumnews.org,564.0,0.8368794326241135,0.35106382978723405,0,41,103,1081.5810546875,79.37508295418942,53,9,0
